,price.open,price.high,price.low,price.close,volume,price.adjusted,oil price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
165,16.629999,17.1,16.309999,16.860001,1477300,16.860001,53.26,6/11/2019,CRC,0.035626533,0.035626533,1.172030125,U
166,16.25,16.66,15.85,16.030001,1813500,16.030001,53.27,6/12/2019,CRC,-0.049228941,-0.049228941,1.57057449,U
167,17.049999,17.450001,16.469999,17.450001,2532000,17.450001,51.14,6/13/2019,CRC,0.0885839,0.0885839,-0.799064479,D
168,17.290001,17.59,16.52,16.82,1641100,16.82,52.28,6/14/2019,CRC,-0.036103207,-0.036103207,3.558517467,U
169,16.450001,17.129999,16.17,17.040001,1285500,17.040001,52.51,6/17/2019,CRC,0.013079727,0.013079727,2.150936279,U
170,17.129999,18.83,17.129999,18.690001,2264100,18.690001,51.978,6/18/2019,CRC,0.09683098,0.09683098,1.191111048,U
171,18.5,18.601,17.66,18.200001,1586300,18.200001,53.984,6/19/2019,CRC,-0.026217227,-0.026217227,2.123923043,U
172,19.25,19.9,18.98,19.360001,2106600,19.360001,53.886,6/20/2019,CRC,0.06373626,0.06373626,-1.060502415,D
173,19.49,19.860001,19.030001,19.41,1647600,19.41,56.986,6/21/2019,CRC,0.002582593,0.002582593,-0.699667658,D
174,19.4,19.6,18.591999,18.75,1444800,18.75,57.43,6/24/2019,CRC,-0.034003091,-0.034003091,2.164127424,U
175,18.65,19.34,18.351999,19.01,852500,19.01,57.9,6/25/2019,CRC,0.013866667,0.013866667,1.107891597,U
176,19.719999,20.629999,19.5,20,1283800,20,57.83,6/26/2019,CRC,0.052077854,0.052077854,-0.539265251,D
177,20.1,20.296,19.52,19.66,930500,19.66,59.38,6/27/2019,CRC,-0.017,-0.017,0.06775237,U
178,19.9,20.25,19.35,19.68,1810100,19.68,59.43,6/28/2019,CRC,0.001017294,0.001017294,-1.687326044,D
179,20.450001,20.780001,19.41,19.700001,1721100,19.700001,58.47,7/1/2019,CRC,0.001016311,0.001016311,-3.233834342,D
180,19.5,19.57,18.35,18.700001,1700500,18.700001,59.09,7/2/2019,CRC,-0.050761419,-0.050761419,-0.417805639,D
181,18.629999,18.84,17.84,17.879999,1092000,17.879999,56.25,7/3/2019,CRC,-0.043850372,-0.043850372,0.23914828,U
182,17.799999,18.5,17.73,18.469999,928700,18.469999,57.34,7/5/2019,CRC,0.032997765,0.032997765,0.865960671,U
183,18.25,18.721001,17.82,18.01,1401800,18.01,57.51,7/8/2019,CRC,-0.024905199,-0.024905199,2.742390304,U
